한글명,IATA코드,국가명_영문,국가명_한글,도시명_영문
푼타카나 국제공항,PUJ,Dominican Republic,도미니카공화국,Punta Cana
사마냐 엘카티 국제공항,AZS,Dominican Republic,도미니카공화국,Samana
라스 아메리카 국제공항 ,SDQ,Dominican Republic,도미니카공화국,Santo Domingo
김해 국제공항,PUS,Republic of Korea,대한민국,Busan
청주 국제공항,CJJ,Republic of Korea,대한민국,Cheongju
대구 국제공항,TAE,Republic of Korea,대한민국,Daegu
인천 국제공항,ICN,Republic of Korea,대한민국,Incheon
제주 국제공항,CJU,Republic of Korea,대한민국,Jeju
무안 국제공항,MWX,Republic of Korea,대한민국,Muan
김포 국제공항,GMP,Republic of Korea,대한민국,Seoul
양양 국제공항,YNY,Republic of Korea,대한민국,Yangyang
카오징 국제공항,KHH,Chinese Taipei,대만,Kaohsiung
타이완 타오유완 국제공항 ,TPE,Chinese Taipei,대만,Taipei
디오리 히머니 국제공항,NIM,Niger,니제르,Niamey
라 톤투타 국제공항,NOU,New Caledonia,뉴칼레도니아,Noumea
오클랜드 국제공항,AKL,New Zealand,뉴질랜드,Auckland
크라이스트처치 국제공항,CHC,New Zealand,뉴질랜드,Christchurch
두네딘 국제공항,DUD,New Zealand,뉴질랜드,Dunedin
웰링턴 국제공항,WLG,New Zealand,뉴질랜드,Wellington
플라밍고 국제공항 ,BON,Netherlands Antilles,네덜란드령 카리브,Kralendijk
블룸폰테인 국제공항,BFN,South Africa,남아프리카,Bloemfontein
케이프타운 국제공항,CPT,South Africa,남아프리카,Cape Town
킹샤카 국제공항,DUR,South Africa,남아프리카,Durban
OR 탐보 국제공항,JNB,South Africa,남아프리카,Johannesburg
쿠루거 음푸마랑가 국제공항,MQP,South Africa,남아프리카,Nelspruit
아부자 국제공항,ABV,Nigeria,나이지리아,Abuja
매그렛 익포 국제공항,CBQ,Nigeria,나이지리아,Calabar
아쿠누 이비암 국제공항,ENU,Nigeria,나이지리아,Enugu
일로린 국제공항,ILR,Nigeria,나이지리아,Ilorin
카두나 국제공항,KAD,Nigeria,나이지리아,Kaduna
말람 아미뉴 카노 국제공항,KAN,Nigeria,나이지리아,Kano
마이두구리 국제공항,MIU,Nigeria,나이지리아,Maiduguri
포트하커트 국제공항,PHC,Nigeria,나이지리아,Port Harcourt
